,,,,,Column 1,15-Aug,29-Aug,12-Sep,26-Sep,10-Oct,24-Oct,07-Nov,21-Nov,05-Dec,19-Dec,02-Jan,16-Jan,30-Jan
,,,,,House,,1749,1749,,1749,,1749,,1749,,1749,,1749
,,,,,Church,540,540,540,540,540,540,540,540,540,540,540,540,540
,,,,,Student Loans,,202,,202,,202,,202,,202,,202,
,,,,,HendricksPwr,,,350,,300,,300,,300,,300,,300
,,,,,Spectrum,,80,,80,,,80,,80,,80,,80
,,,,,Suburban,,475,,475,,475,,475,,475,,475,
,,,,,Food,500,500,500,500,500,500,500,500,500,500,500,500,500
,,,,,Gas,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,,,Geico,65,,65,,65,,65,,65,,,65,
,,,,,Affirm,,,,,,,,,,,,,
,,,,,Fi,130,,130,,130,,130,,130,,,130,
,,,,,Amazon,,,,,,,,,,,,,
,,,,,LafCred,646,,,646,,646,,646,,646,,646,
,,,,,AllData,230,,,230,,230,,230,,230,,230,
,,,,,Netflix,,16,,16,,,16,,16,,16,,16
,,,,,Trash,,,,70,,,,,70,,,,
,,,,,Plates,,,,,,,,,,,,,
,,,,,Homeschool,75,,75,,75,,75,,,75,,75,
,,,,,Drive,10,,10,,10,,10,,10,,10,,10
,,,,,YT Premium,14,,,14,,14,,14,,14,,14,
,,,,,Bill total,2310,3662,3519,2873,3469,2707,3565,2707,3560,2782,3295,2977,3295
,,,,,Rebecca Pay,3663,3663,3663,3663,3663,3663,3663,3663,3663,3663,3663,3663,3663
,,,,,Total +/-,,,,,,,,,,,,,
